name,object_id,accounting_method_id,accounting_method_value,account_alias,account_balance,account_name,account_status_id,account_status_value,account_usage_locked_time,action_threshold_1_owner,action_threshold_2_owner,action_threshold_3_owner,action_threshold_4_owner,action_threshold_5_owner,action_threshold_6_owner,aggregate_start_date,apply_status_change_to_prod,auto_delete_billed_events,auto_payment_status_id,auto_payment_status_value,account_num,billing_contact,billing_driver_id,billing_driver_value,billing_indicator_id,billing_indicator_value,billing_status_id,billing_status_value,bills_since_last_statement,bill_cycle,bill_event_sequence,bill_handling_code,bill_masking,bill_period,bill_period_unit_id,bill_period_unit_value,bill_style_id,bill_style_value,budget_payment_plan_type_id,budget_payment_plan_type_value,created_when,credit_adjust_billed_up_to,credit_card_expiration_date,credit_class_id,credit_limit,currency,datastore_masking,debit_adjustments_billed_up_to,debts_analysis_req_at_date,delete_events_on_billing,deposits_without_req_amount,disable_real_time_billing,don_event_disc_billed_up_to,don_package_disc_billed_up_to,early_term_surcharge_app,effective_date,effective_status_start_date,events_billed_up_to,event_dispatch_profile_id,exclude_from_promotions,go_live_date,go_live_date_initial,holiday_profile_id,info_currency,internal_account,is_usage_locked,last_bill_seq,last_billed_deposit_amount,last_bill_amount,last_bill_date,last_bill_loyalty_points,last_collection_action_date,last_debts_analysis,last_payment_actual_date,last_payment_amount,last_payment_date,lifecycle_profile,lifecycle_profile_id,lifecycle_state,loyalty_trans_billed_up_to,modified_when,new_existing_contact_id,new_existing_contact_value,next_bill_date,next_collection_action_date,next_payment_date,ots_billed_up_to,output_event_to_file,overwritten_invoice_amount,payments_since_last_invoice,payment_method_id,payment_method_value,pending_paid_amount,prepay,product_instance,recharge_event_payments,recharge_event_type_id,required_bill_masking,required_datastore_masking,suspension_bill_required,syncstatus_id,syncstatus_value,tax_status_id,tax_status_value,termination_date,termination_reason_id,termination_reason_value,threshold_1_direction_id,threshold_1_direction_value,threshold_1_money_amount,threshold_1_total_type_id,threshold_1_total_type_value,threshold_2_direction_id,threshold_2_direction_value,threshold_2_money_amount,threshold_2_total_type_id,threshold_2_total_type_value,threshold_3_direction_id,threshold_3_direction_value,threshold_3_money_amount,threshold_3_total_type_id,threshold_3_total_type_value,threshold_4_direction_id,threshold_4_direction_value,threshold_4_money_amount,threshold_4_total_type_id,threshold_4_total_type_value,threshold_5_direction_id,threshold_5_direction_value,threshold_5_money_amount,threshold_5_total_type_id,threshold_5_total_type_value,threshold_6_direction_id,threshold_6_direction_value,threshold_6_money_amount,threshold_6_total_type_id,threshold_6_total_type_value,total_active_disputes,total_allocated_amount,total_billed_amount,total_billed_install_amount,total_chasable_debts,total_internal_payments_amount,total_legal_debts,total_loyalty_points_earned,total_loyalty_points_redeemed,total_overdue_debt,total_paid_amount,total_paid_discounts_amount,total_unbilled_adjustments,total_unbilled_ots_amount,tot_budg_plan_deferred_amount,transactions_billed_up_to,unbilled_deposit_req_amount,unbilled_realtime_ots_amount,unbilled_term_install_amount,unpaid_spend,write_off_amount,default_recharge_event_source,def_recharge_ext_event_spec,extraction_timestamp,date,history_date
Firstname27041124990 Lastname27041124021,9158144187313272779,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163948,9158144188613272631,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 11:11:19,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 11:11:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Firstname27043009237 Lastname27043007683,9158144296013275724,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163969,9158144296713275624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 11:29:23,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 11:29:24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Firstname27051339611 Lastname27051338851,9158144590413281726,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000164018,9158144554813281034,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 12:18:51,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 12:18:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
27073929693 27073929693,9158143998713256013,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163928,9158143994513256013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 10:39:10,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 10:39:21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Bank Card,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Firstname27034138827 Lastname27034138050,9158144000213256745,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163932,9158144009313256645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 10:40:54,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 10:40:54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Firstname27034140062 Lastname27034139292,9158144005013256955,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163934,9158144001613256645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 10:41:23,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 10:41:23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Firstname27034048207 Lastname27034047531,9158144007313256525,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163931,9158143991913256377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 10:40:25,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 10:40:25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Firstname27041342423 Lastname27041341544,9158144196713272968,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163949,9158144187113272995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 11:12:51,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 11:12:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Firstname27041642022 Lastname27041641264,9158144218513273356,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163950,9158144207213273367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 11:15:56,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 11:15:56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Firstname27042030688 Lastname27042029883,9158144228013273885,9135456871313516983,Balance Forward,NULL,NULL,NULL,9135405314613494989,6#9BBB59$ Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000163952,9158144221713273785,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153348571113184719,NULL,NULL,NULL,NULL,9147921419813944145,Periodic Electronic Bill,NULL,NULL,2020-08-27 11:19:45,NULL,NULL,9154791950913365248,NULL,9154697122813325093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-08-27 11:19:45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Cash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
