users_value,users_id,created_by_value,created_when,domain_login,domain_name,email,first_name,full_name,last_name,middle_name,modified_by_value,modified_when,user_status_id,user_status_value,user_state_id,user_state_valid,utilization_id,externally_authenticated_id,externally_authenticated_value,utilization_value,extraction_timestamp,date,history_date
internal,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2017-11-10 04:32:06.0,67256902,Disabled,NULL,NULL,NULL,9138481824113988268,false,NULL,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
sysadm,111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-11-13 01:43:58.0,67256901,Normal,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Administrator,120,NULL,NULL,NULL,NULL,NULL,NULL,NetCracker Administrator,NULL,NULL,sysadm,2017-11-10 04:30:36.0,67256902,Disabled,NULL,NULL,NULL,9138481824113988268,false,NULL,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
OTRK internal,9152206740313950915,sysadm,2018-10-10 06:18:14.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2019-03-15 09:18:11.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Agent_AT_M4,9158370216313961164,sysadm,2020-09-22 15:12:53.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:13:43.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_AT_M11,9158370342113962243,sysadm,2020-09-22 15:29:50.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:30:37.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_D3,9158370645313963032,sysadm,2020-09-22 16:20:23.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:22:03.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_M21,9158370647213963032,sysadm,2020-09-22 16:19:48.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:20:38.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_OTH4,9158370697213963568,sysadm,2020-09-22 16:24:43.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:26:51.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
guest,112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2017-11-10 04:32:20.0,67256902,Disabled,NULL,NULL,NULL,9138481824113988268,false,NULL,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Agent_user2,9158370031413960511,sysadm,2020-09-22 14:32:51.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:08:21.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_user1,9158370317613961784,sysadm,2020-09-22 15:20:12.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:21:03.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_user2,9158370323813961840,sysadm,2020-09-22 15:22:02.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:27:06.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_AT_IFC2,9158370346313962243,sysadm,2020-09-22 15:35:29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:37:17.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_user3,9158370346913962143,sysadm,2020-09-22 15:24:04.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:26:20.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_AT_OTH2,9158370349313962243,sysadm,2020-09-22 15:36:42.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:39:42.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_D7,9158370645813963032,sysadm,2020-09-22 16:21:58.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:23:21.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
amg_agent,9158819155113920193,NULL,NULL,amg_agent,NULL,amg_agent@m.com,AMG,NULL,agent,NULL,NULL,NULL,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988269,true,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Agent_AT_M8,9158370210413961164,sysadm,2020-09-22 15:14:56.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:15:40.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_AT_IFC1,9158370347213962243,sysadm,2020-09-22 15:33:45.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:35:14.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_user3,9158370513813962518,sysadm,2020-09-22 16:07:41.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:09:53.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_user2,9158370517713962518,sysadm,2020-09-22 16:06:27.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:08:28.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
wfinternal,113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67256902,Disabled,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
ac_user01,9130663430013016319,Administrator,2011-12-12 19:49:51.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Administrator,2011-12-20 14:12:33.0,67256901,Normal,NULL,NULL,6082959404013265105,NULL,NULL,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
InternalErrorHandlingConfigurator,9146394494713398866,sysadm,2016-12-06 15:03:54.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2016-12-06 15:03:55.0,67256901,Normal,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_AT_D8,9158370343213962243,sysadm,2020-09-22 15:31:54.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:32:57.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
