customer_ref,account_num,subs_id,msisdn,ocs_subscription_id,productoffering_id,productoffering_name,is_top_offer,productoffering_type_id,productoffering_type_value,event_type_id,event_type_name,event_dtm,calling_number,originating_number,called_number,upload_volume,download_volume,total_volume,rating_group,duration,number_of_messages,direction,operator_code,consumption_bucket_amount,consumption_type,actual_available_bucket,served_imsi,terminating_zone,terminating_country,originating_zone,originating_country,roaming_zone,roaming_country,session_id,location_cell_id,ocs_charged_amount,charged_amount_post_tax,tax_amount,hour_number,history_date
1000163940,2000263934,9158818010000000001,754200001,436607000001,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200831000100,754200001.0,,9234775633.0,,,,,1,2.0,IN,ARTL,20,1,21,BSNL,,,,,,,SNSMS65842,,2,3,1,5,2020-09-16-00-00-00
1000163941,2000263935,9158818010000000002,754200002,436607000002,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200901000100,754200002.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000163942,2000263936,9158818010000000003,754200003,436607000003,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200902000100,754200003.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000163943,2000263937,9158818010000000004,754200004,436607000004,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200004.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,9,2020-09-16-00-00-00
1000163944,2000263938,9158818010000000005,754200005,436607000005,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200904000100,754200005.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,10,2020-09-16-00-00-00
1000163945,2000263939,9158818010000000006,754200006,436607000006,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200905000100,,754200006.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000163946,2000263940,9158818010000000007,754200007,436607000007,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200906000100,,754200007.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000163947,2000263941,9158818010000000008,754200008,436607000008,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200907000100,,754200008.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,9,2020-09-16-00-00-00
1000163948,2000263942,9158818010000000009,754200009,436607000009,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200908000100,,754200009.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,10,2020-09-16-00-00-00
1000163949,2000263943,9158818010000000010,754200010,436607000010,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200909000100,754200010.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
