account_num,customer_ref,subs_id,bill_seq,bill_dtm,invoice_net_mny,invoice_tax_mny,invoice_num,msisdn,event_type,event_type_name,event_id,cluster_sub_id,created_dtm,event_datetime,charge,event_cost,tlo_product_seq,product_seq,product_name,managed_file_id,row_number,was_modified,cost_centre_id,tariff_id,tariff_name,tariff_desc,event_attr_1,event_attr_2,event_attr_3,event_attr_4,event_attr_5,event_attr_6,event_attr_7,event_attr_8,event_attr_9,event_attr_10,event_attr_11,event_attr_12,event_attr_13,event_attr_14,event_attr_15,event_attr_16,event_attr_17,event_attr_18,event_attr_19,event_attr_20,event_attr_21,event_attr_22,event_attr_23,event_attr_24,event_attr_25,event_attr_26,event_attr_27,event_attr_28,event_attr_29,event_attr_30,event_attr_31,event_attr_32,event_attr_33,event_attr_34,event_attr_35,event_attr_36,loyalty_points,competitor_cost_mny,internal_cost_mny,external_cost_mny,fragment_number,imported_cost_mny,imported_currency_code,rating_discounted_usage_total,pre_discounted_cost_mny,highest_priority_discount_id,tax_override_id,ust_category_id,ust_code_id,original_account_num,rule_number,highest_priority_prod_seq,receivable_class_id,receivable_class_name,revenue_code_id,revenue_code_name,discount_data,primary_event_ref,inhost_costed_boo,host_event_type_id,charge_number,billed_cost_mny,mask_bill_rule_id,mask_store_rule_id,post_bill_retention_days,event_lifecycle_type,previous_event_ref,previous_event_seq,twin_event_boo,extraction_timestamp,date,history_date
2000163929,1000163930,NULL,1,NULL,NULL,NULL,NULL,75110198,3,Voice Roaming,000045000000002,2,2020-12-01 09:56:53,2020-11-05 15:58:44,Charged,70,1,2,Mobile Postpaid Line,23,3,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,75110198,001456,60,'O',NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000003,400000003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000164185,1000164185,NULL,1,NULL,NULL,NULL,NULL,75110143,1,National Calls,000076000000000,2,2020-12-01 18:08:36,2020-11-05 19:08:13,Charged,300,1,2,Mobile Postpaid Line,55,1,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,75110143,001456,60,'O',NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000001,400000001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000164258,1000164259,NULL,1,NULL,NULL,NULL,NULL,75110003,8,Data Roaming,000091000000000,2,2020-12-01 17:31:27,2020-11-09 18:30:57,Charged,50,1,2,Mobile Postpaid Line,65,1,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,75110003,NULL,NULL,1048576,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000008,400000008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000164315,1000164261,NULL,1,NULL,NULL,NULL,NULL,75110204,1,National Calls,0000B3000000000,2,2020-12-01 18:28:49,2020-11-12 19:27:58,Charged,10000,1,2,Mobile Postpaid Line,79,1,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,75110204,001456,60,'O',NULL,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000001,400000001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000164388,1000164715,NULL,1,2020-12-01 00:00:00,267366,0,VFO0000014,75110011,2,International Calls,000097000000001,2,2020-12-01 10:24:32,2020-11-11 19:50:44,Charged,50,1,2,Mobile Postpaid Line,69,2,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,75110011,001456,60,'O',NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000002,400000002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000164388,1000164715,NULL,1,2020-12-01 00:00:00,267366,0,VFO0000014,75110011,6,SMS Roaming,000097000000005,2,2020-12-01 10:24:32,2020-11-11 22:55:44,Charged,80,1,2,Mobile Postpaid Line,69,6,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,75110011,001456,1,'O',NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000006,400000006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000164619,1000164935,NULL,1,NULL,NULL,NULL,NULL,75110005,6,SMS Roaming,0000B6000000005,2,2020-12-01 21:12:53,2020-11-12 22:55:44,Charged,80,1,2,Mobile Postpaid Line,81,6,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,75110005,001456,1,'O',NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000006,400000006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000164625,1000164933,NULL,1,NULL,NULL,NULL,NULL,77110020,8,Data Roaming,0000C2000000007,2,2020-12-01 12:40:37,2020-11-13 18:57:44,Charged,250,1,2,Mobile Postpaid Line,89,8,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,77110020,NULL,NULL,1048576,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000008,400000008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000164865,1000165110,NULL,1,NULL,NULL,NULL,NULL,77110022,8,Data Roaming,0000C8000000007,2,2020-12-01 08:18:40,2020-11-21 18:57:44,Charged,250,1,2,Mobile Postpaid Line,93,8,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,77110022,NULL,NULL,1048576,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000008,400000008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
2000165338,1000165516,NULL,1,NULL,NULL,NULL,NULL,77110204,1,National Calls,0000CB000000000,2,2020-12-01 15:22:48,2020-11-23 16:22:13,Charged,300,1,2,Mobile Postpaid Line,95,1,F,NULL,10001,Pre-costed RP,Default rate plan for all usage,77110204,001456,60,'O',NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10001,Default,400000001,400000001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,2020-11-24 12:43:06,2020-11-24,2020-11-24-12-43-06
