customer_ref,customer_id,account_num,ocs_subscriber_id,billing_account_id,subs_id,bpi_id,subscription_name,actual_start_date,actual_end_date,sequence_number,billing_subs_status_id,billing_subs_status_value,subs_status_id,subs_status_value,initiating_system_id,initiating_system_value,distribution_channel_id,distribution_channel_value,shop_id,processed_when_date,subs_location_id,charge_discount_mrc,charge_tax_mrc,charge_total_mrc,tariff_plan_template_id,tariff_plan_template_name,tariff_plan_id,tariff_plan_name,tariff_plan_weight,tariff_plan_bil_spec_id,tariff_plan_bil_spec_value,msisdn_id,msisdn,phone_number_status_id,phone_number_status_value,ported_from_id,ported_from_name,phone_number_category_id,phone_number_category_value,iccid_id,imsi,sim_card_type_id,sim_card_type_value,sim_card_logical_status_id,sim_card_logical_status_value,ported_to_id,ported_to_name,customer_category_id,customer_category_value,sms_allowance,data_allowance,voice_allowance,cash_balance_id,date_change_tariff_plan,history_date,ocs_subscription_id,remaining_upfront_payment,upfront_payment
1000163940,9157818000000000001,2000263934,436607000001.0,9157000010000000001,9158818010000000001,9157818076520010001,Mobile Prepaid 6 GB #001,2020-08-21 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-21 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000001,754200001,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900001,143981813200001,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163941,9157818100000000002,2000263935,436607000002.0,9157000010000000002,9158818010000000002,9157818076520010002,Mobile Prepaid 6 GB #001,2020-08-22 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-22 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000002,754200002,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900002,143981813200002,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163942,9157818200000000003,2000263936,436607000003.0,9157000010000000003,9158818010000000003,9157818076520010003,Mobile Prepaid 6 GB #001,2020-08-23 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-23 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000003,754200003,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900003,143981813200003,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163943,9157818300000000004,2000263937,436607000004.0,9157000010000000004,9158818010000000004,9157818076520010004,Mobile Prepaid 6 GB #001,2020-08-24 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-24 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000004,754200004,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900004,143981813200004,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163944,9157818400000000005,2000263938,436607000005.0,9157000010000000005,9158818010000000005,9157818076520010005,Mobile Prepaid 6 GB #001,2020-08-25 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-25 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000005,754200005,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900005,143981813200005,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163945,9157818500000000006,2000263939,436607000006.0,9157000010000000006,9158818010000000006,9157818076520010006,Mobile Prepaid 6 GB #001,2020-08-26 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-26 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000006,754200006,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900006,143981813200006,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163946,9157818600000000007,2000263940,436607000007.0,9157000010000000007,9158818010000000007,9157818076520010007,Mobile Prepaid 6 GB #001,2020-08-27 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-27 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000007,754200007,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900007,143981813200007,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163947,9157818700000000008,2000263941,436607000008.0,9157000010000000008,9158818010000000008,9157818076520010008,Mobile Prepaid 6 GB #001,2020-08-28 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-28 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000008,754200008,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900008,143981813200008,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163948,9157818800000000009,2000263942,436607000009.0,9157000010000000009,9158818010000000009,9157818076520010009,Mobile Prepaid 6 GB #001,2020-08-29 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-29 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000009,754200009,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900009,143981813200009,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
1000163949,9157818900000000010,2000263943,436607000010.0,9157000010000000010,9158818010000000010,9157818076520010010,Mobile Prepaid 6 GB #001,2020-08-30 00:01:00,,1,9141504170013676277,Active,9132857804713527193,Active,9148223396313661755,Order Entry,9153174608013224018,Telesales,,2020-08-30 00:01:00,,3.15,19.31,22.46,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3,9156599279465679872,Mobile Prepaid,9157818001120000010,754200010,9144596250213377985,In Use,,,9153651213713172484,Regular,9157818000513900010,143981813200010,9141573920013381957,SIM Card,9141687398113679757,In Use,,,9145846203913115265,Consumer,300,6,300,NULL,NULL,9/9/2020,,,
